timestamp,energy_consumption,temperature
2018-01-01 00:00:00,17.98,-4.004349282114278
2018-01-01 01:00:00,14.14,-5.103935321924455
2018-01-01 02:00:00,12.52,-3.0325275308575526
2018-01-01 03:00:00,11.45,-0.48725178125343094
2018-01-01 04:00:00,11.51,-2.9660843375834163
2018-01-01 05:00:00,14.06,-1.7601467275477087
2018-01-01 06:00:00,19.57,3.1606480428780386
2018-01-01 07:00:00,24.64,2.8311870956816767
2018-01-01 08:00:00,30.39,1.563273639993351
2018-01-01 09:00:00,32.83,4.622876404967923
2018-01-01 10:00:00,34.8,3.4055140451605252
2018-01-01 11:00:00,39.49,3.900392036168083
2018-01-01 12:00:00,38.8,5.486146954995324
2018-01-01 13:00:00,42.45,1.0052910539930018
2018-01-01 14:00:00,43.48,0.8825137657593851
2018-01-01 15:00:00,36.73,2.41318125931405
2018-01-01 16:00:00,35.91,0.47656017119441074
2018-01-01 17:00:00,39.83,1.9248123025664072
2018-01-01 18:00:00,44.33,-1.8138257391791648
2018-01-01 19:00:00,46.49,-4.116480216319928
2018-01-01 20:00:00,40.98,0.4335199497063642
2018-01-01 21:00:00,39.02,-3.984864095042552
2018-01-01 22:00:00,30.28,-4.192848197683088
2018-01-01 23:00:00,23.33,-7.676903092008998
2018-01-02 00:00:00,17.22,-6.079876460145938
2018-01-02 01:00:00,14.78,-4.5988949631211815
2018-01-02 02:00:00,13.72,-6.623225184862372
2018-01-02 03:00:00,11.44,-2.7752488803369664
2018-01-02 04:00:00,11.88,-3.692388390933183
2018-01-02 05:00:00,14.0,-1.8685937361947298
2018-01-02 06:00:00,18.63,-1.1945242355543666
2018-01-02 07:00:00,23.71,5.007540583434906
2018-01-02 08:00:00,30.19,2.4818945394285588
2018-01-02 09:00:00,32.95,1.429001036925364
2018-01-02 10:00:00,33.14,5.984105832032999
2018-01-02 11:00:00,36.3,2.3968308204077236
2018-01-02 12:00:00,39.25,5.426616178913938
2018-01-02 13:00:00,42.89,0.9191778725902178
2018-01-02 14:00:00,43.01,1.682643910029761
2018-01-02 15:00:00,39.15,3.938145366575414
2018-01-02 16:00:00,34.23,3.9858221488952505
2018-01-02 17:00:00,37.37,1.6457207767969717
2018-01-02 18:00:00,42.9,-0.22240757587205268
2018-01-02 19:00:00,46.72,-1.8874136277867515
2018-01-02 20:00:00,45.02,-5.448154991830427
2018-01-02 21:00:00,36.06,-4.966333333817727
2018-01-02 22:00:00,28.83,-5.242515571937339
2018-01-02 23:00:00,23.09,-2.7064956901030817
2018-01-03 00:00:00,17.86,-4.292765665190216
2018-01-03 01:00:00,15.59,-8.335711686497948
2018-01-03 02:00:00,13.18,-3.6619613244597424
2018-01-03 03:00:00,11.86,-4.28570071109251
2018-01-03 04:00:00,11.72,-3.833846244939057
2018-01-03 05:00:00,14.37,-0.050744892158006705
2018-01-03 06:00:00,19.48,2.0819968006647627
2018-01-03 07:00:00,24.58,3.1766532194178616
2018-01-03 08:00:00,30.46,0.8415627092275832
2018-01-03 09:00:00,32.88,2.9371069099031692
2018-01-03 10:00:00,35.28,5.012651637402183
2018-01-03 11:00:00,37.04,6.80071714136292
2018-01-03 12:00:00,41.0,4.061649279982281
2018-01-03 13:00:00,41.99,4.478308933790569
2018-01-03 14:00:00,41.69,2.1374548265829993
2018-01-03 15:00:00,38.23,1.1631184134442591
2018-01-03 16:00:00,36.05,4.145049400461259
2018-01-03 17:00:00,36.31,4.02657303832711
2018-01-03 18:00:00,40.96,-0.12402248748780556
2018-01-03 19:00:00,45.22,0.732968325944308
2018-01-03 20:00:00,43.7,-1.7567301942318705
2018-01-03 21:00:00,36.98,-4.805775659470124
2018-01-03 22:00:00,28.87,-3.5873380522325027
2018-01-03 23:00:00,22.53,-1.733558242840541
2018-01-04 00:00:00,17.51,-5.036106657818688
2018-01-04 01:00:00,14.74,-1.664796399416114
2018-01-04 02:00:00,14.2,-9.534071806700467
2018-01-04 03:00:00,11.49,-1.856183476781075
2018-01-04 04:00:00,11.35,-2.290360443122443
2018-01-04 05:00:00,13.79,-1.8565645060431235
2018-01-04 06:00:00,20.55,0.2190669734722194
2018-01-04 07:00:00,26.53,-2.6454971832879672
2018-01-04 08:00:00,29.75,2.0962016447261904
2018-01-04 09:00:00,33.12,4.285304469357445
2018-01-04 10:00:00,33.94,7.3214605288064405
2018-01-04 11:00:00,37.68,3.828634115299261
2018-01-04 12:00:00,41.44,3.4185582146148397
2018-01-04 13:00:00,39.82,3.8616604646774837
2018-01-04 14:00:00,39.33,6.196476674727558
2018-01-04 15:00:00,38.01,4.228581545653324
2018-01-04 16:00:00,35.64,1.4760250128671397
2018-01-04 17:00:00,39.39,2.3561755121405303
2018-01-04 18:00:00,44.65,0.2297005190972968
2018-01-04 19:00:00,43.88,0.6787401759543921
2018-01-04 20:00:00,41.83,-3.8685607673534896
2018-01-04 21:00:00,35.97,-4.155312778727058
2018-01-04 22:00:00,29.56,-5.078797904785292
2018-01-04 23:00:00,23.87,-7.721113607308363
2018-01-05 00:00:00,17.81,-4.352232069889965
2018-01-05 01:00:00,14.8,-4.251991211104679
2018-01-05 02:00:00,12.63,-4.2643727296563885
2018-01-05 03:00:00,11.12,-3.949180796702148
2018-01-05 04:00:00,12.01,-5.275214108119945
2018-01-05 05:00:00,14.49,-2.0798584950624384
2018-01-05 06:00:00,19.67,-0.6299016570726559
2018-01-05 07:00:00,24.26,-0.25493193694975114
2018-01-05 08:00:00,30.86,2.2329559526488643
2018-01-05 09:00:00,33.7,4.399162995542698
2018-01-05 10:00:00,34.07,8.158026197324137
2018-01-05 11:00:00,36.59,5.234312133089902
2018-01-05 12:00:00,40.14,5.5706281574264125
